transaksi_id;invoice_line_id;invoice_id;sk_track;album_title;artist_name;genre_name;media_name;sk_trackdate;kuartal;tanggal;bulan;tahun_angka;hari_dalam_bulan_angka;sk_employee;employee_name;sk_customer;customer_name;unit_price;quantity;totalrevenue;billing_country
33;33;5;198;The Best Of Buddy Guy - The Millenium Collection                                                                                                                ;Buddy Guy                                                                                                               ;Blues                                                                                                                   ;MPEG audio file                                                                                                         ;20210111;Q1;2021/01/11 00:00:00.000000000;January                       ;2021;11;4;Margaret Park                                                                                       ;23;John Gordon                                                                                         ;0.99;1;0.99;USA                                                                                                 
34;34;5;207;Prenda Minha                                                                                                                                                    ;Caetano Veloso                                                                                                          ;Latin                                                                                                                   ;MPEG audio file                                                                                                         ;20210111;Q1;2021/01/11 00:00:00.000000000;January                       ;2021;11;4;Margaret Park                                                                                       ;23;John Gordon                                                                                         ;0.99;1;0.99;USA                                                                                                 
35;35;5;216;Prenda Minha                                                                                                                                                    ;Caetano Veloso                                                                                                          ;Latin                                                                                                                   ;MPEG audio file                                                                                                         ;20210111;Q1;2021/01/11 00:00:00.000000000;January                       ;2021;11;4;Margaret Park                                                                                       ;23;John Gordon                                                                                         ;0.99;1;0.99;USA                                                                                                 
36;36;6;230;Minha Historia                                                                                                                                                  ;Chico Buarque                                                                                                           ;Latin                                                                                                                   ;MPEG audio file                                                                                                         ;20210119;Q1;2021/01/19 00:00:00.000000000;January                       ;2021;19;3;Jane Peacock                                                                                        ;37;Fynn Zimmermann                                                                                     ;0.99;1;0.99;Germany                                                                                             
37;37;7;231;Minha Historia                                                                                                                                                  ;Chico Buarque                                                                                                           ;Latin                                                                                                                   ;MPEG audio file                                                                                                         ;20210201;Q1;2021/02/01 00:00:00.000000000;February                      ;2021;1;3;Jane Peacock                                                                                        ;38;Niklas Schröder                                                                                     ;0.99;1;0.99;Germany                                                                                             
38;38;7;232;Minha Historia                                                                                                                                                  ;Chico Buarque                                                                                                           ;Latin                                                                                                                   ;MPEG audio file                                                                                                         ;20210201;Q1;2021/02/01 00:00:00.000000000;February                      ;2021;1;3;Jane Peacock                                                                                        ;38;Niklas Schröder                                                                                     ;0.99;1;0.99;Germany                                                                                             
39;39;8;234;Minha Historia                                                                                                                                                  ;Chico Buarque                                                                                                           ;Latin                                                                                                                   ;MPEG audio file                                                                                                         ;20210201;Q1;2021/02/01 00:00:00.000000000;February                      ;2021;1;4;Margaret Park                                                                                       ;40;Dominique Lefebvre                                                                                  ;0.99;1;0.99;France                                                                                              
40;40;8;236;Minha Historia                                                                                                                                                  ;Chico Buarque                                                                                                           ;Latin                                                                                                                   ;MPEG audio file                                                                                                         ;20210201;Q1;2021/02/01 00:00:00.000000000;February                      ;2021;1;4;Margaret Park                                                                                       ;40;Dominique Lefebvre                                                                                  ;0.99;1;0.99;France                                                                                              
41;41;9;238;Minha Historia                                                                                                                                                  ;Chico Buarque                                                                                                           ;Latin                                                                                                                   ;MPEG audio file                                                                                                         ;20210202;Q1;2021/02/02 00:00:00.000000000;February                      ;2021;2;3;Jane Peacock                                                                                        ;42;Wyatt Girard                                                                                        ;0.99;1;0.99;France                                                                                              
42;42;9;240;Minha Historia                                                                                                                                                  ;Chico Buarque                                                                                                           ;Latin                                                                                                                   ;MPEG audio file                                                                                                         ;20210202;Q1;2021/02/02 00:00:00.000000000;February                      ;2021;2;3;Jane Peacock                                                                                        ;42;Wyatt Girard                                                                                        ;0.99;1;0.99;France                                                                                              
43;43;9;242;Minha Historia                                                                                                                                                  ;Chico Buarque                                                                                                           ;Latin                                                                                                                   ;MPEG audio file                                                                                                         ;20210202;Q1;2021/02/02 00:00:00.000000000;February                      ;2021;2;3;Jane Peacock                                                                                        ;42;Wyatt Girard                                                                                        ;0.99;1;0.99;France                                                                                              
44;44;9;244;Minha Historia                                                                                                                                                  ;Chico Buarque                                                                                                           ;Latin                                                                                                                   ;MPEG audio file                                                                                                         ;20210202;Q1;2021/02/02 00:00:00.000000000;February                      ;2021;2;3;Jane Peacock                                                                                        ;42;Wyatt Girard                                                                                        ;0.99;1;0.99;France                                                                                              
45;45;10;248;Afrociberdelia                                                                                                                                                  ;Chico Science & Nação Zumbi                                                                                             ;Latin                                                                                                                   ;MPEG audio file                                                                                                         ;20210203;Q1;2021/02/03 00:00:00.000000000;February                      ;2021;3;3;Jane Peacock                                                                                        ;46;Hugh O'Reilly                                                                                       ;0.99;1;0.99;Ireland                                                                                             
46;46;10;252;Afrociberdelia                                                                                                                                                  ;Chico Science & Nação Zumbi                                                                                             ;Latin                                                                                                                   ;MPEG audio file                                                                                                         ;20210203;Q1;2021/02/03 00:00:00.000000000;February                      ;2021;3;3;Jane Peacock                                                                                        ;46;Hugh O'Reilly                                                                                       ;0.99;1;0.99;Ireland                                                                                             
47;47;10;256;Afrociberdelia                                                                                                                                                  ;Chico Science & Nação Zumbi                                                                                             ;Latin                                                                                                                   ;MPEG audio file                                                                                                         ;20210203;Q1;2021/02/03 00:00:00.000000000;February                      ;2021;3;3;Jane Peacock                                                                                        ;46;Hugh O'Reilly                                                                                       ;0.99;1;0.99;Ireland                                                                                             
48;48;10;260;Afrociberdelia                                                                                                                                                  ;Chico Science & Nação Zumbi                                                                                             ;Latin                                                                                                                   ;MPEG audio file                                                                                                         ;20210203;Q1;2021/02/03 00:00:00.000000000;February                      ;2021;3;3;Jane Peacock                                                                                        ;46;Hugh O'Reilly                                                                                       ;0.99;1;0.99;Ireland                                                                                             
